date;qty
18.07.2018;192799
19.07.2018;139471
20.07.2018;210880
21.07.2018;132313
22.07.2018;68711
23.07.2018;75304
24.07.2018;97260
25.07.2018;176847
26.07.2018;180406
27.07.2018;228724
28.07.2018;233816
29.07.2018;218654
30.07.2018;131427
31.07.2018;134527
01.08.2018;207602
02.08.2018;165942
03.08.2018;253248
04.08.2018;203024
05.08.2018;156925
06.08.2018;147623
07.08.2018;175110
08.08.2018;242540
09.08.2018;209632
10.08.2018;255780
11.08.2018;268370
12.08.2018;144138
13.08.2018;166045
14.08.2018;112118
15.08.2018;264828
16.08.2018;194395
17.08.2018;229677
18.08.2018;286647
19.08.2018;212379
20.08.2018;184925
21.08.2018;159161
22.08.2018;260607
23.08.2018;229522
24.08.2018;288048
25.08.2018;255945
26.08.2018;302472
27.08.2018;257360
28.08.2018;117736
29.08.2018;226762
30.08.2018;254829
31.08.2018;283062
01.09.2018;261481
02.09.2018;337883
03.09.2018;291151
04.09.2018;223949
05.09.2018;237374
06.09.2018;256360
07.09.2018;244808
08.09.2018;237956
09.09.2018;317912
10.09.2018;183998
11.09.2018;242268
12.09.2018;180789
13.09.2018;193662
14.09.2018;234948
15.09.2018;218607
16.09.2018;236750
17.09.2018;240151
18.09.2018;209098
19.09.2018;200023
20.09.2018;210500
21.09.2018;227728
22.09.2018;280167
23.09.2018;254672
24.09.2018;179953
25.09.2018;178495
26.09.2018;147484
27.09.2018;188627
28.09.2018;177630
29.09.2018;211084
30.09.2018;220829
01.10.2018;115486
02.10.2018;211617
03.10.2018;192989
04.10.2018;222244
05.10.2018;248366
06.10.2018;225865
07.10.2018;219369
08.10.2018;177686
09.10.2018;170101
10.10.2018;223860
11.10.2018;209613
12.10.2018;182531
13.10.2018;236803
14.10.2018;211403
15.10.2018;118337
16.10.2018;214954
17.10.2018;163626
18.10.2018;257482
19.10.2018;237668
20.10.2018;232925
21.10.2018;210729
22.10.2018;153006
23.10.2018;191972
24.10.2018;151764
25.10.2018;204304
26.10.2018;155770
27.10.2018;200196
28.10.2018;205438
29.10.2018;121890
30.10.2018;194629
31.10.2018;179617
01.11.2018;157222
02.11.2018;183127
03.11.2018;199282
04.11.2018;133505
05.11.2018;88116
06.11.2018;116589
07.11.2018;120048
08.11.2018;128951
09.11.2018;119445
10.11.2018;192432
11.11.2018;121609
12.11.2018;65214
13.11.2018;100558
14.11.2018;136754
15.11.2018;108307
16.11.2018;5936
17.11.2018;432
18.11.2018;1183
19.11.2018;565
20.11.2018;1043
21.11.2018;490
22.11.2018;36566
23.11.2018;236127
24.11.2018;168658
25.11.2018;233196
26.11.2018;127409
27.11.2018;113874
28.11.2018;123925
29.11.2018;143211
30.11.2018;89287
01.12.2018;132541
02.12.2018;163844
03.12.2018;118225
04.12.2018;64366
05.12.2018;143682
06.12.2018;245036
07.12.2018;181188
08.12.2018;232893
09.12.2018;261150
10.12.2018;173086
11.12.2018;244916
12.12.2018;127034
13.12.2018;165612
14.12.2018;173052
15.12.2018;171731
16.12.2018;180757
17.12.2018;154992
18.12.2018;142639
19.12.2018;107842
20.12.2018;193239
21.12.2018;158338
22.12.2018;275377
23.12.2018;214225
24.12.2018;168212
25.12.2018;187737
26.12.2018;169128
27.12.2018;212016
28.12.2018;139642
29.12.2018;197007
30.12.2018;136511
31.12.2018;62538
01.01.2019;0
02.01.2019;44339
03.01.2019;149236
04.01.2019;250226
05.01.2019;281161
06.01.2019;199509
07.01.2019;108652
08.01.2019;245366
09.01.2019;225655
10.01.2019;169437
11.01.2019;158408
12.01.2019;228883
13.01.2019;138478
14.01.2019;203734
15.01.2019;197130
16.01.2019;262043
17.01.2019;241828
18.01.2019;207952
19.01.2019;255131
20.01.2019;124346
21.01.2019;204370
22.01.2019;181938
23.01.2019;190257
24.01.2019;261806
25.01.2019;234411
26.01.2019;556857
27.01.2019;233014
28.01.2019;260629
29.01.2019;217656
30.01.2019;221962
31.01.2019;255775
01.02.2019;221155
02.02.2019;256444
03.02.2019;204327
04.02.2019;169836
05.02.2019;227444
06.02.2019;217120
07.02.2019;212801
08.02.2019;288307
09.02.2019;293841
10.02.2019;370030
11.02.2019;316810
12.02.2019;228839
13.02.2019;238147
14.02.2019;237943
15.02.2019;215047
16.02.2019;282085
17.02.2019;330671
18.02.2019;337769
19.02.2019;247722
20.02.2019;308223
21.02.2019;276454
22.02.2019;329965
23.02.2019;238189
24.02.2019;301137
25.02.2019;241433
26.02.2019;269901
27.02.2019;291689
28.02.2019;357965
01.03.2019;294154
02.03.2019;336694
03.03.2019;336274
04.03.2019;284709
05.03.2019;286923
06.03.2019;317123
07.03.2019;253129
08.03.2019;209141
09.03.2019;304173
10.03.2019;331680
11.03.2019;230823
12.03.2019;245814
13.03.2019;321596
14.03.2019;329498
15.03.2019;295868
16.03.2019;334893
17.03.2019;306887
18.03.2019;300895
19.03.2019;286602
20.03.2019;254392
21.03.2019;339659
22.03.2019;241275
23.03.2019;370631
24.03.2019;310672
25.03.2019;236710
26.03.2019;234379
27.03.2019;211965
28.03.2019;242657
29.03.2019;198529
30.03.2019;249275
31.03.2019;205003
01.04.2019;118552
02.04.2019;181383
03.04.2019;214245
04.04.2019;220253
05.04.2019;224081
06.04.2019;274313
07.04.2019;294558
08.04.2019;225568
09.04.2019;259518
10.04.2019;264470
11.04.2019;225383
12.04.2019;223375
13.04.2019;289118
14.04.2019;266271
15.04.2019;158138
16.04.2019;259954
17.04.2019;222878
18.04.2019;237092
19.04.2019;317238
20.04.2019;261317
21.04.2019;295585
22.04.2019;254903
23.04.2019;230876
24.04.2019;226611
25.04.2019;235963
26.04.2019;250053
27.04.2019;280967
28.04.2019;287942
29.04.2019;256812
30.04.2019;206886
01.05.2019;237517
02.05.2019;257265
03.05.2019;240301
04.05.2019;317416
05.05.2019;260003
06.05.2019;278310
07.05.2019;259789
08.05.2019;261815
09.05.2019;200290
10.05.2019;304185
11.05.2019;280579
12.05.2019;285116
13.05.2019;170592
14.05.2019;204793
15.05.2019;248630
16.05.2019;226114
17.05.2019;258776
18.05.2019;202429
19.05.2019;257752
20.05.2019;160374
21.05.2019;187671
22.05.2019;224096
23.05.2019;199169
24.05.2019;225313
25.05.2019;181559
26.05.2019;249057
27.05.2019;138344
28.05.2019;252508
29.05.2019;239603
30.05.2019;211726
31.05.2019;216765
